YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME
2017,2,4,1,6,4/1/2017,DL,1479,MSP,LAS,700,653,-7,0,824,801,-23,0,0,0,,0,204,188,172,1299,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1484,GEG,MSP,1315,1311,-4,0,1809,1747,-22,0,0,0,,0,174,156,141,1175,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1484,MSP,GEG,1120,1116,-4,0,1223,1211,-12,0,0,0,,0,183,175,157,1175,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1487,MCO,MSP,1900,1855,-5,0,2135,2114,-21,0,0,0,,0,215,199,181,1310,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1487,MSP,MCO,1310,1304,-6,0,1723,1712,-11,0,0,0,,0,193,188,163,1310,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1488,MIA,MSP,730,729,-1,0,1031,1009,-22,0,0,0,,0,241,220,200,1501,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1492,HNL,MSP,1700,1651,-9,0,548,533,-15,0,0,0,,0,468,462,437,3972,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1493,MSP,MIA,1530,1526,-4,0,2008,1951,-17,0,0,0,,0,218,205,185,1501,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1497,LAS,MSP,1350,1342,-8,0,1906,1850,-16,0,0,0,,0,196,188,166,1299,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1497,MSP,LAS,1130,1126,-4,0,1249,1230,-19,0,0,0,,0,199,184,167,1299,,,,,,,,,0,,,,,,,,,,,,
2017,2,4,1,6,4/1/2017,DL,1505,MSP,SFO,1800,1923,83,1,2018,2110,52,52,1,0,,0,258,227,201,1589,0,0,52,0,0,,,,0,,,,,,,,,,,,
